,Edge_start,Edge_end,Capacity
594,82578i,82578o,10
595,29645i,29645o,10
596,32607o,32359i,10
597,8979i,8979o,10
598,13417o,13003i,10
599,71407o,60608i,10
600,4101o,4135i,10
601,46649i,46649o,10
602,39008o,39875i,10
603,44008i,44008o,10
604,82099o,82073i,10
605,34207o,34165i,10
606,73700o,75903i,10
607,34603o,33506i,10
608,24158o,12252i,10
609,34207o,36103i,10
610,56713o,56697i,10
611,1404o,1107i,10
612,51862i,51862o,10
613,18200i,18200o,10
614,14704o,14407i,10
615,34165o,33506i,10
616,12872o,179200i,10
617,50948o,50906i,10
618,84400o,179301i,10
619,61903o,60608i,10
620,82669o,81265i,10
621,60103o,58271i,10
622,1107o,1404i,10
623,75507o,179221i,10
624,38653o,33605i,10
625,75424o,62802i,10
626,19844o,19703i,10
627,25809o,27805i,10
628,68403o,67900i,10
629,80416o,79657i,10
630,82974i,82974o,10
631,36509o,36459i,10
632,74633i,74633o,10
633,16139i,16139o,10
634,34165i,34165o,10
635,251561i,251561o,10
636,18705o,18408i,10
637,75903o,73700i,10
638,8904i,8904o,10
639,4135o,4408i,10
640,5942i,5942o,10
641,26708i,26708o,10
642,82552o,82404i,10
643,47886o,62653i,10
644,4952o,4705i,10
645,68882o,68700i,10
646,75507o,76000i,10
647,51862o,51946i,10
648,50948i,50948o,10
649,26500o,13904i,10
650,48355o,48009i,10
651,74658o,64899i,10
652,55806o,55665i,10
653,44420o,58784i,10
654,18374o,16717i,10
655,47001o,34207i,10
656,33506o,32201i,10
657,67009i,67009o,10
658,73312o,74658i,10
659,48504o,48355i,10
660,83022o,83105i,10
661,63552o,64808i,10
662,32201o,21600i,10
663,44701i,44701o,10
664,14407o,15537i,10
665,81679o,81901i,10
666,24539o,24638i,10
667,26146o,26104i,10
668,47704o,46409i,10
669,65300i,65300o,10
670,57307o,56523i,10
671,76109o,76000i,10
672,13904o,26500i,10
673,19794i,19794o,10
674,51177i,51177o,10
675,32003o,18705i,10
676,41558i,41558o,10
677,55665i,55665o,10
678,47001i,47001o,10
679,50500o,262848i,10
680,18705o,30809i,10
681,14704i,14704o,10
682,19901o,19794i,10
683,12807i,12807o,10
