,Edge_start,Edge_end,Capacity
615,58651i,58651o,1
616,20719,20743,1
617,55103i,55103o,1
618,79467i,79467o,1
619,54551i,54551o,1
620,77834i,77834o,0
621,79806i,79806o,0
622,19901,20719,1
623,61903i,61903o,0
624,55145,55103,1
625,48736,48355,1
626,45682,45617,1
627,37911i,37911o,0
628,45245,44842,1
629,20909,21204,1
630,83105i,83105o,0
631,21428i,21428o,0
632,251575i,251575o,0
633,36343i,36343o,0
634,28100i,28100o,0
635,67900,179223,1
636,2204,2477,1
637,260653,13904,1
638,49809i,49809o,1
639,38653,21808,1
640,28969i,28969o,0
641,26211i,26211o,0
642,22442i,22442o,1
