,Edge_start,Edge_end,Capacity
816,50500i,50500o,1
817,76000o,77107i,1
818,5256i,5256o,1
819,80416o,33506i,1
820,67066o,61903i,1
821,53850o,54007i,1
822,24638o,24737i,1
823,74583o,75309i,1
824,56523i,56523o,1
825,33902i,33902o,1
826,258468o,66142i,1
827,28803o,30601i,1
828,10405i,10405o,1
829,54007o,53850i,1
830,851o,273i,1
831,33506o,34165i,1
832,54205o,41277i,1
833,73312o,80416i,1
834,24430o,279919i,1
835,30809o,32003i,1
836,51177o,254539i,1
837,83584i,83584o,1
838,38653o,21808i,1
839,62109o,60608i,1
840,25205o,25403i,1
841,8607i,8607o,1
842,38885i,38885o,1
843,8474o,8409i,1
844,69823i,69823o,1
845,12872o,179200i,1
846,10603i,10603o,1
847,25387o,39776i,1
848,33506o,32201i,1
849,50104i,50104o,1
850,21428o,21204i,1
851,47001o,47258i,1
852,54551o,54528i,1
853,11809i,11809o,1
854,233222o,39875i,1
855,79657o,79806i,1
856,55806o,54551i,1
857,15537o,14407i,1
858,60608i,60608o,1
859,69203i,69203o,1
860,84301i,84301o,1
861,59105o,59576i,1
862,21600i,21600o,1
863,65094i,65094o,1
864,60103o,58271i,1
865,46581i,46581o,1
866,261251o,82974i,1
867,53009o,59048i,1
868,56523o,57307i,1
869,38307o,37911i,1
870,34603i,34603o,1
871,33100o,30122i,1
872,64899o,48959i,1
873,8151o,10934i,1
874,30205o,44701i,1
875,15537i,15537o,1
876,258708o,78345i,1
877,14514i,14514o,1
878,68882o,68700i,1
879,20909o,20743i,1
880,54817o,54403i,1
881,18408o,18200i,1
882,48736i,48736o,1
883,7534o,7583i,1
884,8607o,8995i,1
885,80416o,80630i,1
886,45245i,45245o,1
887,32433i,32433o,1
888,22905o,21808i,1
889,18374i,18374o,1
890,15602i,15602o,1
891,60103o,59808i,1
892,7583o,7534i,1
893,17202i,17202o,1
894,42002o,42127i,1
895,51102o,50906i,1
896,79905o,79657i,1
897,55145o,57943i,1
898,68700o,67900i,1
899,29223i,29223o,1
900,58651o,58784i,1
901,83600i,83600o,1
902,84434o,83261i,1
903,66142o,258468i,1
904,41277o,54205i,1
905,24893o,12963i,1
906,53009o,54205i,1
907,8979o,8904i,1
908,15008i,15008o,1
909,60103o,58784i,1
910,45476o,45401i,1
911,6304i,6304o,1
912,21808i,21808o,1
913,83584o,83725i,1
914,12252o,24158i,1
915,13417i,13417o,1
916,69708o,70201i,1
917,63073o,62653i,1
918,48959o,34165i,1
919,15008o,14761i,1
920,60400i,60400o,1
921,251555o,46706i,1
922,33563o,34868i,1
923,45682i,45682o,1
924,14043o,13904i,1
925,29405o,29108i,1
926,56713o,56408i,1
927,80630o,79657i,1
928,57463i,57463o,1
929,68205o,68700i,1
930,8474o,17202i,1
931,83261o,84301i,1
932,34207o,34165i,1
933,25809o,179212i,1
934,46565o,46581i,1
935,41202o,41558i,1
936,48827i,48827o,1
937,39909o,40832i,1
938,40808o,40949i,1
939,55145i,55145o,1
940,19794o,19901i,1
941,24133o,279919i,1
942,64899o,33506i,1
943,14514o,14407i,1
944,26104o,30601i,1
945,48801o,48827i,1
946,82552i,82552o,1
947,79657o,79905i,1
948,10934i,10934o,1
949,4408o,4135i,1
950,54403i,54403o,1
951,1107o,273i,1
952,41558o,41202i,1
953,50104o,262848i,1
954,45476i,45476o,1
955,18408o,18705i,1
956,58651i,58651o,1
957,3632o,3905i,1
958,27805o,25809i,1
959,43406o,42606i,1
960,50484o,50500i,1
961,65243o,262835i,1
962,48959o,36103i,1
963,26500i,26500o,1
964,24430o,25403i,1
965,18705o,19703i,1
966,29108i,29108o,1
967,41277o,41202i,1
968,13334o,13003i,1
969,13334o,851i,1
970,36939i,36939o,1
971,81232o,81265i,1
972,19174i,19174o,1
973,179301i,179301o,1
974,51805o,53850i,1
975,36939o,37226i,1
976,4101o,4408i,1
977,59675o,59576i,1
978,21501o,21600i,1
979,71407o,70201i,1
980,71860i,71860o,1
981,34207o,36103i,1
982,3517i,3517o,1
983,25809o,13003i,1
984,56903o,56606i,1
985,36103o,48959i,1
986,64899o,75309i,1
987,14407i,14407o,1
988,16139o,29645i,1
989,51102o,179193i,1
990,83600o,83758i,1
991,47886i,47886o,1
992,83501i,83501o,1
993,21808o,22442i,1
994,69708o,60608i,1
995,69708o,62802i,1
996,51946o,51805i,1
997,26500o,13904i,1
998,74583o,74658i,1
999,81679o,81604i,1
1000,46409o,47605i,1
1001,25387o,25353i,1
1002,65029o,65094i,1
1003,41202o,41277i,1
1004,55632i,55632o,1
1005,48355o,48801i,1
1006,280397o,66589i,1
1007,50906i,50906o,1
1008,65532o,82974i,1
1009,68205o,68403i,1
1010,51508i,51508o,1
1011,4101o,4135i,1
1012,47829o,47704i,1
1013,58974o,60103i,1
1014,65300o,65003i,1
1015,38653i,38653o,1
1016,46565o,46706i,1
1017,60400o,42200i,1
1018,58651o,60103i,1
1019,36707i,36707o,1
1020,47001i,47001o,1
1021,1404o,1107i,1
1022,44008o,45906i,1
1023,38885o,38653i,1
