,Edge,Capacity
424,"('Piotrków Kujawski', 'Inowrocław Rąbinek')",1
425,"('Bochnia', 'Brzesko Okocim')",1
426,"('Lębork', 'Słupsk')",1
427,"('Pionki Zachodnie', 'Puławy Miasto')",1
428,"('Kamieniec Ząbkowicki', 'Bardo Śląskie')",1
429,"('Katowice', 'Chorzów Batory')",1
430,"('Pilawa', 'Warszawa Wschodnia')",1
431,"('Poznań Główny', 'Krzyż')",1
432,"('Wronki', 'Krzyż')",1
433,"('Łańcut', 'Rzeszów Główny')",1
434,"('Rybnik', 'Wodzisław Śląski')",1
435,"('Siedlce Zachodnie', 'Mrozy')",1
436,"('Kutno', 'Łęczyca')",1
437,"('Jarocin', 'Środa Wielkopolska')",1
438,"('Zgierz', 'Łódź\xa0Żabiniec')",1
439,"('Tereszpol Biłgorajski', 'Biłgoraj')",1
440,"('Bogoniowice Ciężkowice', 'Gorlice Zagórzany')",1
441,"('Toruń Wschodni', 'Toruń Miasto')",1
442,"('Smętowo', 'Pelplin')",1
443,"('Sulechów', 'Zielona Góra Główna')",1
444,"('Wrocław Mikołajów', 'Wrocław Główny')",1
445,"('Tarnów', 'Brzesko Okocim')",1
446,"('Leszno', 'Kościan')",1
447,"('Inowrocław Rąbinek', 'Mogilno')",1
448,"('Ostrów Wielkopolski', 'Twardogóra')",1
449,"('Rytro', 'Piwniczna Zdrój')",1
450,"('Sucha Beskidzka Zamek', 'Kalwaria Zebrzydowska Lanckorona')",1
451,"('Wierchomla Wielka', 'Łomnica Zdrój')",1
452,"('Muszyna Zdrój', 'Muszyna')",1
453,"('Bielsk Podlaski', 'Białystok Zielone Wzgórza')",1
454,"('Łódź Kaliska', 'Łódź\xa0Żabiniec')",1
455,"('Nowa Sarzyna', 'Rudnik nad Sanem')",1
456,"('Zamość Starówka', 'Zamość Wschód')",1
457,"('Zarszyn', 'Sanok')",1
458,"('Kłodzko Główne', 'Nowa Ruda')",1
459,"('Dąbrowa Górnicza', 'Będzin Miasto')",1
460,"('Sochaczew', 'Łowicz Główny')",1
461,"('Września', 'Swarzędz')",1
462,"('Warszawa Wschodnia', 'Nowy Dwór Mazowiecki')",1
463,"('Krzeszowice', 'Trzebinia')",1
464,"('Koniecpol', 'Częstochowa Stradom')",1
465,"('Muszyna', 'Żegiestów Zdrój')",1
466,"('Wrocław Główny', 'Wałbrzych Miasto')",1
467,"('Nowa Sarzyna', 'Leżajsk')",1
468,"('Gliwice', 'Strzelce Opolskie')",1
469,"('Szamotuły', 'Wronki')",1
470,"('Włoszczowa Północ', 'Opoczno Południe')",1
471,"('Sandomierz', 'Stalowa Wola Rozwadów')",1
472,"('Otwock', 'Warszawa Wschodnia')",1
473,"('Racibórz', 'Chałupki')",1
474,"('Prudnik', 'Nysa')",1
475,"('Ozorków', 'Łęczyca')",1
476,"('Przemyśl Główny', 'Przemyśl Zasanie')",1
477,"('Opoczno Południe', 'Tomaszów Mazowiecki')",1
478,"('Bogoniowice Ciężkowice', 'Tuchów')",1
479,"('Jahodyn', 'Dorohusk')",1
480,"('Biecz', 'Jasło')",1
481,"('Sędziszów Małopolski', 'Rzeszów Główny')",1
482,"('Warszawa Zachodnia', 'Kraków Główny')",1
483,"('Laskowice Pomorskie', 'Smętowo')",1
484,"('Włocławek', 'Aleksandrów Kujawski')",1
485,"('Lubin', 'Głogów')",1
486,"('Prabuty', 'Malbork')",1
487,"('Gorlice Zagórzany', 'Biecz')",1
488,"('Kraków Główny', 'Nowy Targ')",1
489,"('Rzepin', 'Frankfurt (Oder)')",1
490,"('Konin', 'Słupca')",1
491,"('Świdwin', 'Łobez')",1
492,"('Radymno', 'Przemyśl Zasanie')",1
