stop_id,stop_name,stop_lat,stop_lon,stop_IBNR
27912i,Nowogród Osiedle_i,51.79507580889,15.22561513359,7315.0
66142i,Werbkowice_i,50.74553949091,23.76763342738,2278.0
54908i,Dzierżoniów Śląski_i,50.72441634844,16.64071171403,36.0
19844i,Solec Kujawski_i,53.07834855349,18.22523224971,5576.0
24158i,Osowiec_i,53.47288699902,22.65683136153,1324.0
33100i,Konin_i,52.23132169834,18.25252889514,79.0
50500i,Lublin Główny_i,51.23135643241,22.56920429158,103.0
64808i,Włoszczowa_i,50.83775009492,20.01541304641,2285.0
19489i,Sieradz_i,51.59775671857,18.71469214251,183.0
24737i,Czyżew_i,52.79971278558,22.34214662433,28.0
76968i,Ustroń Zdrój_i,49.72061232694,18.81663500726,
8904i,Czersk_i,53.80072566028,17.97056937855,5104.0
63073i,Koniecpol_i,50.77637636512,19.69978678459,711.0
14308i,Strzelce Krajeńskie Wschód_i,52.83680698734,15.58457212689,8365.0
47829i,Gorzkowice_i,51.21824108365,19.60311984414,1136.0
265251i,Chabówka Stadion_i,49.5898110925,19.92032110155,6653.0
36939i,Ciechanów_i,52.88339915431,20.59131914352,20.0
61002i,Opole Wschodnie_i,50.67440503919,17.93445335061,6319.0
179193i,Jahodyn_i,51.1982115567,23.89584302366,
264954i,Łódź Retkinia_i,51.74034966243,19.40656944841,6564.0
3467i,Runowo Pomorskie_i,53.55566783884,15.52945065248,174.0
40949i,Chotyłów_i,51.99684579892,23.3558781676,1076.0
34603i,Sochaczew_i,52.21517565534,20.23901892527,701.0
22905i,Prabuty_i,53.75781755726,19.21039490068,160.0
75507i,Zebrzydowice_i,49.87018235758,18.62380026698,262.0
18374i,Bydgoszcz Leśna_i,53.14351512249,18.03218214594,5075.0
60269i,Brzeg Dolny_i,51.26671570629,16.7255035535,12.0
13904i,Gorzów Wielkopolski_i,52.72757815828,15.22857283768,46.0
29223i,Wieleń_i,52.90747049724,16.18013012138,8435.0
36459i,Nowy Dwór Mazowiecki_i,52.42529479678,20.72381501454,1309.0
13334i,Chojna_i,52.96358798355,14.44419154429,8064.0
39743i,Niemojki_i,52.25866465828,22.70130330423,1299.0
1008i,Świnoujście_i,53.9046508057,14.26659541863,217.0
18705i,Inowrocław_i,52.80497139096,18.24377584874,54.0
83758i,Zagórz_i,49.51343861102,22.26428609352,252.0
6304i,Wejherowo_i,54.60582937299,18.22962210729,234.0
11809i,Ełk_i,53.82500922001,22.36246191495,38.0
14548i,Trzcianka_i,53.03334950777,16.46566994802,8409.0
8607i,Starogard Gdański_i,53.97727723921,18.52621946272,5588.0
57307i,Kłodzko Główne_i,50.45087250511,16.657161841,75.0
25387i,Siemiatycze_i,52.39102692267,22.9450162209,1411.0
21600i,Włocławek_i,52.65299481041,19.05898571719,245.0
83725i,Zarszyn_i,49.58419402356,22.01948210584,3348.0
50609i,Lubartów_i,51.44553685262,22.60821456346,2132.0
54528i,Świebodzice_i,50.86019406371,16.33289737096,6462.0
66050i,Zawada_i,50.71603303507,23.12532976323,257.0
39776i,Sarnaki_i,52.32522762664,22.87979228703,1405.0
83394i,Jedlicze_i,49.71895301381,21.64829513859,3098.0
56176i,Szklarska Poręba Średnia_i,50.83845500292,15.54002090289,6449.0
57513i,Szczytna_i,50.40839787617,16.44974111974,6446.0
4952i,Ustka_i,54.57873708694,16.86106249282,232.0
261251i,Rzeszów Zachodni_i,50.05270823989,21.99420066138,3380.0
68882i,Kuźnia Raciborska_i,50.20079191749,18.29856663931,4191.0
56424i,Ziębice_i,50.60848803375,17.03393188032,6550.0
4408i,Koszalin_i,54.19039460958,16.16960647928,81.0
1560i,Wysoka Kamieńska_i,53.82558867231,14.83212091762,526.0
57943i,Nowa Ruda_i,50.57730950515,16.49680852354,
81232i,Ropczyce_i,50.07849860682,21.58056670819,3252.0
36103i,Warszawa Gdańska_i,52.25911858243,20.99311973016,243.0
55632i,Sędzisław_i,50.81340553575,16.06981221998,6402.0
32706i,Sierpc_i,52.84789825922,19.65378252646,184.0
74633i,Będzin Miasto_i,50.31923030177,19.13555224872,4031.0
21428i,Rypin_i,53.06863231073,19.42769586772,5550.0
61705i,Strzelce Opolskie_i,50.51671187049,18.3065966348,718.0
63552i,Kielce_i,50.87428713415,20.61797141743,73.0
68403i,Wodzisław Śląski_i,50.00788382162,18.47625731349,4373.0
81679i,Grybów_i,49.626085978,20.95727046809,3085.0
16139i,Rogoźno Wielkopolskie_i,52.75438614339,16.97174572074,517.0
16717i,Bydgoszcz Wschód_i,53.12792718815,18.08195121957,501.0
76992i,Wisła Uzdrowisko_i,49.65836722274,18.85485112131,
79467i,Miechów_i,50.35364233862,20.01075667005,3173.0
4705i,Słupsk_i,54.46771196624,17.01648113966,188.0
10900i,Morąg_i,53.9190426325,19.92265326678,127.0
58974i,Wrocław Leśnica_i,51.14200672617,16.86706065059,6513.0
13417i,Mieszkowice_i,52.78178232146,14.4859102865,8230.0
262835i,Stalowa Wola Charzewice_i,50.60310063115,22.02512561738,
83584i,Wróblik Szlachecki_i,49.61361079118,21.87836278244,3339.0
262848i,Lublin Zachodni_i,51.21886871976,22.50866684061,295.0
59675i,Milicz_i,51.52726897144,17.29508756518,6270.0
49205i,Ostrowiec Świętokrzyski_i,50.93359476679,21.37783609799,143.0
20503i,Grudziądz_i,53.48202833459,18.760921647,48.0
23101i,Kwidzyn_i,53.73096712328,18.93361571347,5321.0
39008i,Mińsk Mazowiecki_i,52.17586935636,21.55245601594,429.0
3905i,Białogard_i,54.00994582961,15.97770929606,4.0
3509i,Łobez_i,53.63665778088,15.62768048243,8215.0
74583i,Dąbrowa Górnicza_i,50.33027882754,19.18522905484,30.0
